"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"RELIANCE","EQ","23-Sep-2022","2,486.10","2,485.00","2,495.95","2,436.10","2,438.80","2,439.50","2,455.68","43,97,194","10,79,81,21,356.15","2,46,646"
"RELIANCE","EQ","22-Sep-2022","2,509.75","2,486.00","2,503.00","2,472.10","2,487.95","2,486.10","2,488.77","47,57,219","11,83,96,11,958.30","2,07,678"
"RELIANCE","EQ","21-Sep-2022","2,502.85","2,496.75","2,533.00","2,495.00","2,507.70","2,509.75","2,515.30","42,49,172","10,68,79,28,437.35","1,46,056"
"RELIANCE","EQ","20-Sep-2022","2,502.45","2,522.45","2,537.70","2,494.70","2,497.85","2,502.85","2,518.24","38,81,882","9,77,54,96,109.20","1,78,557"
"RELIANCE","EQ","19-Sep-2022","2,499.20","2,499.20","2,522.70","2,481.35","2,502.40","2,502.45","2,506.17","34,98,286","8,76,73,14,647.00","1,37,901"
"RELIANCE","EQ","16-Sep-2022","2,562.70","2,543.75","2,553.00","2,491.00","2,498.00","2,499.20","2,509.51","93,30,469","23,41,48,92,723.80","3,11,718"
"RELIANCE","EQ","15-Sep-2022","2,588.35","2,583.00","2,603.55","2,556.75","2,563.00","2,562.70","2,573.85","47,83,723","12,31,26,02,615.90","1,81,399"
"RELIANCE","EQ","14-Sep-2022","2,619.75","2,575.00","2,610.00","2,572.75","2,589.15","2,588.35","2,595.02","40,04,997","10,39,30,65,929.10","1,56,954"
"RELIANCE","EQ","13-Sep-2022","2,598.05","2,618.00","2,629.70","2,601.00","2,619.00","2,619.75","2,617.12","41,02,114","10,73,57,22,213.80","1,55,135"
"RELIANCE","EQ","12-Sep-2022","2,569.30","2,570.55","2,612.00","2,570.55","2,597.60","2,598.05","2,596.44","34,31,445","8,90,95,27,157.50","1,23,802"
"RELIANCE","EQ","09-Sep-2022","2,585.40","2,610.00","2,610.00","2,564.00","2,568.90","2,569.30","2,577.69","38,37,302","9,89,13,79,842.80","1,85,947"
"RELIANCE","EQ","08-Sep-2022","2,581.75","2,588.25","2,598.00","2,571.00","2,583.05","2,585.40","2,583.54","32,56,840","8,41,41,88,239.00","1,16,529"
"RELIANCE","EQ","07-Sep-2022","2,596.85","2,575.00","2,594.90","2,570.00","2,580.50","2,581.75","2,580.95","34,55,942","8,91,96,02,471.35","1,17,855"
"RELIANCE","EQ","06-Sep-2022","2,569.80","2,573.00","2,606.00","2,572.00","2,594.00","2,596.85","2,592.68","50,30,172","13,04,16,46,173.55","1,74,426"
"RELIANCE","EQ","05-Sep-2022","2,530.50","2,531.00","2,581.50","2,531.00","2,567.15","2,569.80","2,563.92","52,27,785","13,40,36,22,183.40","1,89,614"
"RELIANCE","EQ","02-Sep-2022","2,560.40","2,560.40","2,575.35","2,525.70","2,527.95","2,530.50","2,546.24","59,99,196","15,27,53,78,547.55","2,66,158"
"RELIANCE","EQ","01-Sep-2022","2,637.95","2,582.65","2,604.95","2,550.70","2,564.00","2,560.40","2,580.13","91,88,434","23,70,73,62,824.55","3,46,414"
"RELIANCE","EQ","30-Aug-2022","2,597.65","2,614.00","2,645.25","2,576.60","2,642.00","2,637.95","2,614.74","1,06,78,670","27,92,19,81,356.70","2,85,656"
"RELIANCE","EQ","29-Aug-2022","2,618.00","2,585.00","2,655.00","2,578.05","2,600.00","2,597.65","2,614.34","91,55,684","23,93,60,68,091.80","3,26,003"
"RELIANCE","EQ","26-Aug-2022","2,632.05","2,633.00","2,650.00","2,607.00","2,623.00","2,618.00","2,622.30","49,57,449","12,99,99,29,105.55","1,91,312"
"RELIANCE","EQ","25-Aug-2022","2,639.75","2,648.95","2,662.90","2,622.60","2,628.00","2,632.05","2,648.65","36,32,902","9,62,23,00,857.85","1,33,033"
"RELIANCE","EQ","24-Aug-2022","2,646.80","2,640.10","2,670.00","2,635.35","2,645.00","2,639.75","2,648.95","47,85,579","12,67,67,50,456.45","1,68,584"
"RELIANCE","EQ","23-Aug-2022","2,606.60","2,594.00","2,653.20","2,591.35","2,649.00","2,646.80","2,630.64","44,66,619","11,75,00,46,560.20","1,73,321"
"RELIANCE","EQ","22-Aug-2022","2,613.85","2,617.00","2,631.30","2,586.00","2,602.50","2,606.60","2,606.47","43,71,179","11,39,33,40,723.50","1,93,858"
"RELIANCE","EQ","19-Aug-2022","2,661.30","2,650.00","2,661.70","2,604.95","2,609.80","2,613.85","2,631.57","43,66,123","11,48,97,47,684.60","1,59,356"
"RELIANCE","EQ","18-Aug-2022","2,665.15","2,660.00","2,669.00","2,640.20","2,662.00","2,661.30","2,654.44","34,19,730","9,07,74,57,998.05","1,31,393"
"RELIANCE","EQ","17-Aug-2022","2,651.30","2,665.00","2,676.90","2,655.55","2,661.70","2,665.15","2,666.17","30,44,037","8,11,59,22,559.35","1,21,433"
"RELIANCE","EQ","16-Aug-2022","2,633.00","2,646.20","2,657.30","2,627.30","2,656.00","2,651.30","2,643.49","30,49,304","8,06,07,90,553.15","1,40,058"
"RELIANCE","EQ","12-Aug-2022","2,591.10","2,590.30","2,641.35","2,582.20","2,632.00","2,633.00","2,626.23","58,38,244","15,33,25,63,329.35","2,56,139"
